resultado
B
B
P
B
T
P
P
T
B
T
P
P
P
T
B
P
B
B
B
P
B
B
P
T
P
P
B
P
P
P
P
P
T
P
P
B
B
P
B
P
P
P
B
P
B
P
P
P
B
B
B
B
P
P
P
P
B
P
B
P
B
B
B
B
B
B
P
P
B
P
P
B
P
P
B
B
B
B
B
B
P
P
P
B
T
P
P
B
T
B
B
P
B
B
B
B
P
P
P
P
P
B
P
B
B
B
B
P
P
P
P
P
P
P
P
B
P
P
P
B
B
T
B
T
B
B
P
P
B
P
P
T
T
B
B
P
T
B
P
P
P
B
B
B
P
P
P
B
T
T
B
B
T
B
